id,Action
1,0.97
2,1
3,1
4,1
5,0.999
6,1
7,0.988
8,1
9,0.997
10,1
11,1
12,0.997
13,1
14,0.242
15,0.999
16,0.999
17,0.418
18,0.961
19,1
20,1
21,1
22,0.993
23,1
24,0.99
25,1
26,0.992
27,1
28,1
29,1
30,1
31,1
32,0.998
33,0.999
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,0.513
42,1
43,1
44,1
45,1
46,0.994
47,1
48,1
49,1
50,1
51,0.967
52,0.999
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,0.999
64,1
65,1
66,0.999
67,0.983
68,1
69,1
70,0.495
71,1
72,0.999
73,1
74,1
75,1
76,1
77,1
78,0.99
79,0.879
80,0.999
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0.96
91,0.993
92,0.693
93,1
94,1
95,1
96,1
97,0.83
98,1
99,1
100,1
101,0.988
102,0.999
103,1
104,0.993
105,0.889
106,1
107,1
108,1
109,1
110,1
111,0.975
112,1
113,0.99
114,1
115,1
116,0.996
117,0.96
118,1
119,1
120,0.997
121,0.993
122,1
123,0.994
124,1
125,1
126,0.898
127,1
128,0.992
129,1
130,1
131,1
132,1
133,1
134,0.857
135,1
136,1
137,1
138,1
139,1
140,1
141,0.993
142,1
143,1
144,1
145,1
146,0.947
147,0.461
148,0.731
149,1
150,1
151,1
152,0.887
153,1
154,0.994
155,0.999
156,0.997
157,1
158,1
159,0.996
160,0.999
161,1
162,1
163,1
164,1
165,1
166,1
167,0.926
168,1
169,1
170,1
171,1
172,0.999
173,0.999
174,1
175,1
176,1
177,1
178,0.995
179,1
180,1
181,0.997
182,1
183,0.907
184,1
185,1
186,0.919
187,1
188,0.989
189,0.548
190,1
191,1
192,1
193,0.998
194,1
195,1
196,1
197,1
198,1
199,1
200,0.876
201,1
202,1
203,0.999
204,0.993
205,1
206,1
207,1
208,1
209,0.765
210,0.931
211,0.997
212,1
213,1
214,0.999
215,1
216,0.99
217,0.778
218,1
219,1
220,0.994
221,0.237
222,1
223,1
224,0.999
225,0.989
226,0.938
227,0.99
228,0.999
229,1
230,1
231,1
232,1
233,1
234,0.333
235,1
236,0.998
237,0.878
238,0.981
239,0.99
240,1
241,1
242,0.912
243,0.845
244,0.999
245,0.992
246,1
247,1
248,0.995
249,0.996
250,1
251,1
252,0.853
253,1
254,1
255,1
256,0.998
257,1
258,0.998
259,0.995
260,0.995
261,0.998
262,1
263,1
264,1
265,1
266,1
267,0.791
268,1
269,0.94
270,1
271,0.999
272,1
273,0.995
274,0.509
275,1
276,0.999
277,0.994
278,1
279,0.88
280,0.709
281,0.999
282,1
283,0.75
284,0.99
285,1
286,0.989
287,1
288,1
289,0.999
290,0.999
291,0.274
292,0.937
293,1
294,1
295,0.995
296,0.807
297,0.615
298,0.924
299,0.918
300,0.999
301,0.918
302,1
303,0.976
304,0.997
305,0.999
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,0.999
316,1
317,0.837
318,1
319,0.44
320,0.995
321,1
322,0.875
323,1
324,0.998
325,0.964
326,0.977
327,0.998
328,1
329,1
330,1
331,1
332,1
333,0.997
334,1
335,1
336,0.993
337,1
338,0.993
339,1
340,1
341,1
342,0.995
343,0.998
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,0.998
352,1
353,0.999
354,0.831
355,0.994
356,1
357,1
358,1
359,0.997
360,0.32
361,0.791
362,0.979
363,0.909
364,1
365,1
366,1
367,1
368,1
369,0.997
370,1
371,1
372,1
373,0.666
374,0.79
375,1
376,0.999
377,1
378,1
379,1
380,0.98
381,1
382,1
383,1
384,1
385,1
386,0.998
387,0.796
388,1
389,1
390,1
391,0.81
392,1
393,1
394,0.993
395,1
396,0.994
397,1
398,0.995
399,1
400,0.999
401,0.999
402,0.997
403,1
404,0.985
405,0.992
406,1
407,1
408,1
409,0.999
410,1
411,0.997
412,0.992
413,0.999
414,1
415,1
416,0.985
417,1
418,1
419,1
420,1
421,1
422,0.999
423,1
424,1
425,1
426,0.999
427,1
428,1
429,1
430,1
431,0.999
432,1
433,0.995
434,1
435,0.985
436,0.999
437,1
438,0.283
439,1
440,0.748
441,1
442,1
443,1
444,1
445,0.997
446,1
447,0.993
448,1
449,0.999
450,0.992
451,0.999
452,1
453,1
454,0.995
455,1
456,1
457,1
458,1
459,1
460,0.846
461,0.998
462,1
463,1
464,1
465,0.993
466,1
467,0.864
468,1
469,1
470,0.987
471,1
472,1
473,1
474,0.987
475,0.989
476,0.993
477,1
478,0.997
479,1
480,1
481,1
482,0.995
483,1
484,0.915
485,1
486,0.807
487,1
488,0.996
489,1
490,1
491,1
492,1
493,1
494,1
495,0.999
496,0.994
497,1
498,1
499,1
500,0.993
501,0.999
502,0.993
503,0.992
504,1
505,0.982
506,1
507,1
508,0.997
509,0.998
510,0.906
511,0.998
512,1
513,1
514,0.924
515,1
516,0.995
517,1
518,0.99
519,0.991
520,1
521,1
522,0.992
523,1
524,0.595
525,0.595
526,0.993
527,0.999
528,0.998
529,1
530,1
531,0.982
532,0.988
533,1
534,1
535,1
536,1
537,1
538,0.999
539,1
540,0.949
541,1
542,1
543,0.769
544,1
545,1
546,1
547,0.996
548,0.928
549,0.504
550,0.843
551,0.906
552,0.788
553,1
554,0.991
555,1
556,1
557,1
558,0.987
559,1
560,0.994
561,1
562,1
563,1
564,0.941
565,1
566,1
567,1
568,0.992
569,1
570,1
571,0.35
572,1
573,0.991
574,0.509
575,1
576,1
577,1
578,1
